0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,43,113,78,163,487,443,393,1069
1437,2160,3962,4448,5391,5019,16944,16353,11396,8314,11794,17938,13755,9835,15974,15705
27630,9848,8974,11145,16250,19104,29849,34268,24653,19865,13294,14871,14756,16091,15688,8290
12347,16578,22593,12348,21066,8979,8507,10131,8073,11624,17506,20971,16891,13049,9498,10935
20970,10136,11238,11635,15646,23197,24725,30631,41517,41258,39145,57728,52580,49118,19542,5826
5380,7973,30278,31573,43430,42872,49650,47180,43591,36737,33217,45455,42186,46328,70474,84167
85743,53845,50700,50728,52413,50778,48018,55626,58608,53656,65822,103592,113053,115280,144943,115989
101472,100529,105647,131627,98663,119955,131164,134110,138975,156850,161324,195178,291955,276772,241052,239938
173196,114088,107375,135297,145804,145121,139317,165820,190039,209739,216051,223337,236949,209376,171338,175054
149621,258318,277740,218736,260639,237899,281866,276058,248328,202485,169705,161464,155839,140487,137518,132897
109674,101914,124746,145423,160576,214204,177025,199504,170262,159711,171047,183795,214155,240628,215159,196968
164403,174641,153850,140373,130416,128301,127504,12,1,0,0,0,0,0,0,0
