3962,3444,2652,2758,3097,6121,2834,3459,4875,3890,5645,5223,10866,7737,6092,7893
8159,7002,9288,4730,4751,7304,2251,3094,2911,3102,4479,4810,8245,6634,4593,5811
2455,2593,2869,1997,4367,2623,1773,2301,5651,2341,4351,6945,9159,7898,3995,3556
3102,3348,4512,5563,6156,6799,5888,6439,16793,15655,6017,5993,3622,3982,5748,4753
3056,5108,5876,3971,4531,5645,3090,3312,3053,3286,2521,4122,3740,3159,2739,3754
4132,5034,3966,2846,3817,4781,5209,4716,5536,4918,6142,6713,14273,21727,20272,16515
14498,16949,13012,21019,26043,18727,25943,14953,18331,27113,19091,9755,14888,22779,26785,53929
66188,58425,49515,38942,32245,6834,2032,3544,1833,1336,1178,1467,1346,1148,834,2257
2118,1471,3594,1854,1792,2039,1691,2202,2491,2917,2241,3169,4368,4800,11033,12480
17560,11384,6190,7257,8749,7282,8337,8106,11987,4356,5092,3249,1946,3224,3779,5336
8438,13252,6945,7972,6084,5238,7001,7769,7575,10954,12165,7306,7896,8090,9536,8629
9335,12585,17249,18375,15225,6316,7958,8697,11768,7900,5729,7459,5578,6605,6917,9022
12877,13109,8846,9118,7363,8145,7414,7123,7090,12857,15621,13960,13408,13697,12412,12634
12345,14836,7108,13101,14977,13227,50085,33164,23908,6464,8961,12622,6786,6382,7558,6263
4244,3128,4446,2058,2699,2990,4291,4208,3122,3652,5946,7152,2959,2505,4940,12549
4550,2995,2846,3664,3564,3346,2061,2090,2314,2525,2972,4892,3051,2783,5581,1417466
